firm_id,n,full_overdue_incidence,mean_O_rate,mean_completion_stage
0.0,53,0.7358490566037735,0.830864452940931,2.5660377358490565
1.0,49,0.7346938775510204,0.8543223203490807,2.510204081632653
2.0,47,0.8297872340425532,0.9141213981920021,2.0
3.0,25,0.72,0.8510598162881123,1.88
