model,term,coefficient,std_error,p_value,conf_low,conf_high,n,covariance,converged,warning,interpretation_status
full_overdue_logit_supplement,C(gov_intervention)[T.3.0],0.1585712170224831,0.9242141646413857,0.8637723676860629,-1.6528552596764048,1.969997693721371,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,C(firm_id)[T.1.0],0.37004453198192755,0.5275964254103246,0.48306714032408016,-0.6640254601943817,1.4041145241582367,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,C(firm_id)[T.2.0],0.5744763522472076,0.6224164855932839,0.3560189806643167,-0.6454375428996222,1.7943902473940374,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,C(firm_id)[T.3.0],-0.23966732677272323,0.7293641708996953,0.7424598512678768,-1.6691948333500428,1.1898601798045965,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,x1,0.008614754935384258,0.006380662992037162,0.17697275838288717,-0.003891114726496161,0.02112062459726468,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,x2,-0.18441831710233447,0.6071860492975648,0.7613364885698672,-1.3744811056407231,1.0056444714360544,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,x3,0.25620821996001,0.3243706423540864,0.4296080494849498,-0.37954655669612203,0.891962996616142,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,x4,0.017438812184275666,0.02064822185649558,0.39835249450765586,-0.02303095899924844,0.057908583367799776,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,x5,2.7137465394864897,2.7739593485355067,0.32792915892552155,-2.7231138782212945,8.150606957194274,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
full_overdue_logit_supplement,x6,-9.263617158758786,10.631533034137643,0.38357176217826816,-30.10103900611641,11.57380468859884,174,cluster:Province,True,full_overdue_logit_supplement_runtime_warning=divide by zero encountered in divide; full_overdue_logit_supplement_runtime_warning=invalid value encountered in multiply; full_overdue_logit_supplement_used_manual_cluster_covariance_after_nonfinite_statsmodels_result,exploratory_only_codebook_review_required
