months_overdue,n,full_overdue_incidence,mean_O_rate,mean_completion_stage
1.0,51,0.8431372549019608,0.9034133633560527,2.2941176470588234
2.0,45,0.8,0.8792511760124525,2.1777777777777776
3.0,37,0.7027027027027027,0.8208741605187061,2.2162162162162162
4.0,41,0.6585365853658537,0.8323190837631714,2.5121951219512195
