supplement_variable,core_variable,full_n,complete_n,full_mean,complete_mean,standardized_difference
firm_id,y,174,174,54751.53189655173,54751.53189655173,0.0
firm_id,x1,174,174,29.746579502873566,29.746579502873566,0.0
firm_id,x2,174,174,0.28735632183908044,0.28735632183908044,0.0
firm_id,x3,174,174,2.3060707579885054,2.3060707579885054,0.0
firm_id,x4,174,174,3.206928040378106,3.206928040378106,0.0
firm_id,O_rate,174,174,0.8628609817540299,0.8628609817540299,0.0
firm_id,full_overdue_incidence,174,174,0.7586206896551724,0.7586206896551724,0.0
completion_pct,y,174,174,54751.53189655173,54751.53189655173,0.0
completion_pct,x1,174,174,29.746579502873566,29.746579502873566,0.0
completion_pct,x2,174,174,0.28735632183908044,0.28735632183908044,0.0
completion_pct,x3,174,174,2.3060707579885054,2.3060707579885054,0.0
completion_pct,x4,174,174,3.206928040378106,3.206928040378106,0.0
completion_pct,O_rate,174,174,0.8628609817540299,0.8628609817540299,0.0
completion_pct,full_overdue_incidence,174,174,0.7586206896551724,0.7586206896551724,0.0
months_overdue,y,174,174,54751.53189655173,54751.53189655173,0.0
months_overdue,x1,174,174,29.746579502873566,29.746579502873566,0.0
months_overdue,x2,174,174,0.28735632183908044,0.28735632183908044,0.0
months_overdue,x3,174,174,2.3060707579885054,2.3060707579885054,0.0
months_overdue,x4,174,174,3.206928040378106,3.206928040378106,0.0
months_overdue,O_rate,174,174,0.8628609817540299,0.8628609817540299,0.0
months_overdue,full_overdue_incidence,174,174,0.7586206896551724,0.7586206896551724,0.0
offset_discount,y,174,174,54751.53189655173,54751.53189655173,0.0
offset_discount,x1,174,174,29.746579502873566,29.746579502873566,0.0
offset_discount,x2,174,174,0.28735632183908044,0.28735632183908044,0.0
offset_discount,x3,174,174,2.3060707579885054,2.3060707579885054,0.0
offset_discount,x4,174,174,3.206928040378106,3.206928040378106,0.0
offset_discount,O_rate,174,174,0.8628609817540299,0.8628609817540299,0.0
offset_discount,full_overdue_incidence,174,174,0.7586206896551724,0.7586206896551724,0.0
gov_intervention,y,174,174,54751.53189655173,54751.53189655173,0.0
gov_intervention,x1,174,174,29.746579502873566,29.746579502873566,0.0
gov_intervention,x2,174,174,0.28735632183908044,0.28735632183908044,0.0
gov_intervention,x3,174,174,2.3060707579885054,2.3060707579885054,0.0
gov_intervention,x4,174,174,3.206928040378106,3.206928040378106,0.0
gov_intervention,O_rate,174,174,0.8628609817540299,0.8628609817540299,0.0
gov_intervention,full_overdue_incidence,174,174,0.7586206896551724,0.7586206896551724,0.0
contractor_litigation,y,174,174,54751.53189655173,54751.53189655173,0.0
contractor_litigation,x1,174,174,29.746579502873566,29.746579502873566,0.0
contractor_litigation,x2,174,174,0.28735632183908044,0.28735632183908044,0.0
contractor_litigation,x3,174,174,2.3060707579885054,2.3060707579885054,0.0
contractor_litigation,x4,174,174,3.206928040378106,3.206928040378106,0.0
contractor_litigation,O_rate,174,174,0.8628609817540299,0.8628609817540299,0.0
contractor_litigation,full_overdue_incidence,174,174,0.7586206896551724,0.7586206896551724,0.0
contractor_soe,y,174,174,54751.53189655173,54751.53189655173,0.0
contractor_soe,x1,174,174,29.746579502873566,29.746579502873566,0.0
contractor_soe,x2,174,174,0.28735632183908044,0.28735632183908044,0.0
contractor_soe,x3,174,174,2.3060707579885054,2.3060707579885054,0.0
contractor_soe,x4,174,174,3.206928040378106,3.206928040378106,0.0
contractor_soe,O_rate,174,174,0.8628609817540299,0.8628609817540299,0.0
contractor_soe,full_overdue_incidence,174,174,0.7586206896551724,0.7586206896551724,0.0
supplement_complete,y,174,174,54751.53189655173,54751.53189655173,0.0
supplement_complete,x1,174,174,29.746579502873566,29.746579502873566,0.0
supplement_complete,x2,174,174,0.28735632183908044,0.28735632183908044,0.0
supplement_complete,x3,174,174,2.3060707579885054,2.3060707579885054,0.0
supplement_complete,x4,174,174,3.206928040378106,3.206928040378106,0.0
supplement_complete,O_rate,174,174,0.8628609817540299,0.8628609817540299,0.0
supplement_complete,full_overdue_incidence,174,174,0.7586206896551724,0.7586206896551724,0.0
