neighbors,treated_matched_n,control_matched_rows,unique_control_n,propensity_min,propensity_max,weighted_treated_y,weighted_control_y,weighted_difference
2,47,94,49,0.1240183756061205,0.64664424257659,58154.51765957448,54478.216808510646,3676.300851063832
5,47,235,80,0.1240183756061205,0.6595297639772607,58154.51765957448,53464.80638297873,4689.71127659575
