model,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n_obs,converged,warning
tobit_r0,Intercept,0.6892032569496547,0.31088500881630676,2.2169073368117456,0.026629424303648522,0.07986863966969338,1.2985378742296159,174,True,
tobit_r0,x1,0.0006010055502808071,9.856315480348376e-05,6.097669575198746,1.0762592366822918e-09,0.0004078217668659789,0.0007941893336956352,174,True,
tobit_r0,x3,0.0011923721833270583,0.0006770131237943712,1.7612246224184227,0.07820039216572625,-0.00013457353930990926,0.002519317905964026,174,True,
tobit_r0,x4,0.0005534462768418867,0.00012503075067965568,4.4264812762732655,9.578269220214881e-06,0.0003083860055097616,0.0007985065481740119,174,True,
tobit_r0,x5,0.23402096174538184,0.28800182669492325,0.8125676299729769,0.4164659968928359,-0.33046261857666775,0.7985045420674315,174,True,
tobit_r0,x6,-0.9291849200584977,1.9749961576752935,-0.47047429254354217,0.6380161967275267,-4.800177389102073,2.9418075489850777,174,True,
tobit_r0,x7,0.005312893715035145,0.045632500008963926,0.11642784668802923,0.9073134669976017,-0.08412680630253415,0.09475259373260443,174,True,
tobit_r1,Intercept,0.7085946870253996,0.2956958135994133,2.3963636089395264,0.016558654812654356,0.12903089237054954,1.2881584816802496,174,True,
tobit_r1,C(color)[T.2],-0.020396598848670625,0.032707261432688484,-0.6236107199206148,0.5328832687758751,-0.08450283125674005,0.0437096335593988,174,True,
tobit_r1,C(color)[T.3],0.05047799552802265,0.059101076844438695,0.8540960372158184,0.39305177943442915,-0.06536011508707719,0.16631610614312248,174,True,
tobit_r1,x1,0.0005200824643960481,7.888794044734777e-05,6.59267387951606,4.3197478778880226e-11,0.00036546210111924654,0.0006747028276728498,174,True,
tobit_r1,x3,0.0011645847380156444,0.0006408855423026778,1.817149336574726,0.06919425008874472,-9.155092489760396e-05,0.002420720400928893,174,True,
tobit_r1,x4,0.0002856143699087777,0.0002018079937518696,1.415277782603355,0.1569870664689549,-0.0001099292978448867,0.0006811580376624421,174,True,
tobit_r1,x5,0.2083582948790635,0.27024529514718676,0.7709969373031377,0.44070874695599527,-0.32132248360942256,0.7380390733675495,174,True,
tobit_r1,x6,-0.8933689415182879,2.0401901569701666,-0.43788513461167117,0.6614695521271534,-4.892141649179814,3.1054037661432385,174,True,
tobit_r1,x7,0.00874083226783233,0.0481903400573346,0.18138141912742053,0.8560682023676314,-0.08571223424454348,0.10319389878020814,174,True,
tobit_r2,Intercept,0.7267727229413986,0.28910352965890634,2.5138839494587577,0.011940971986103863,0.1601298048099422,1.293415641072855,174,True,
tobit_r2,C(x2)[T.1],-0.026829780293341068,0.06670470816283525,-0.4022171902445916,0.6875241921339861,-0.15757100829249815,0.103911447705816,174,True,
tobit_r2,C(color)[T.2],-0.024064325278966323,0.029889560435109094,-0.8051080353359666,0.4207573393042615,-0.08264786373178015,0.0345192131738475,174,True,
tobit_r2,C(color)[T.3],0.04806980141212597,0.05993851298217269,0.8019852181922366,0.42256150891738975,-0.0694096840329325,0.16554928685718445,174,True,
tobit_r2,x1,0.0005606611947822336,0.0001083577605710148,5.17416742305957,2.2892948203639698e-07,0.0003482799840630446,0.0007730424055014226,174,True,
tobit_r2,x3,0.0012996398296018102,0.000619859101801726,2.0966697525682627,0.03602281987316791,8.47159900704273e-05,0.0025145636691331933,174,True,
tobit_r2,x4,0.00020962008514262054,0.00032623823212759196,0.6425368473080678,0.5205246726291484,-0.0004298068498274597,0.0008490470201127007,174,True,
tobit_r2,x5,0.19088749032466737,0.2501774242536082,0.763008456475122,0.44545835259696276,-0.29946026121240477,0.6812352418617394,174,True,
tobit_r2,x6,-0.9164413792304591,2.055496381770169,-0.44584918142314156,0.6557061929684493,-4.945214287499991,3.1123315290390723,174,True,
tobit_r2,x7,0.020657424346406748,0.02147214381043885,0.9620569109808206,0.33602101706382714,-0.021427977522053398,0.06274282621486689,174,True,
tobit_r3,Intercept,0.8483069411108825,0.04641399883825385,18.276963035809754,1.2626386513818826e-74,0.7573355033879049,0.93927837883386,174,True,
tobit_r3,C(x2)[T.1],-0.026087090705624726,0.06709276469570542,-0.3888212212440628,0.6974084013959055,-0.15758890950920737,0.1054147280979579,174,True,
tobit_r3,C(color)[T.2],-0.025334939388190272,0.025791803757814508,-0.982286451389201,0.3259587473677972,-0.07588687475350671,0.025216995977126164,174,True,
tobit_r3,C(color)[T.3],0.05383648642810541,0.06663791276867151,0.807895748700814,0.41915059885590655,-0.07677382259849075,0.18444679545470155,174,True,
tobit_r3,x1,0.0005807296371251228,0.00012600139975132928,4.608914172947482,4.047773717672044e-06,0.00033376689361251747,0.0008276923806377282,174,True,
tobit_r3,x3,0.001246141361355193,0.0005319192094733094,2.342726750908442,0.019143397533819658,0.0002035797107875065,0.00228870301192288,174,True,
tobit_r3,x4,0.0004625441381195301,0.00029875743019899196,1.5482263915961705,0.12156779940301138,-0.00012302042507049415,0.0010481087013095543,174,True,
tobit_upper1,Intercept,0.6550984135349666,1.3509386662324971,0.48492091455336567,0.62773244598411,-1.9927413722807281,3.302938199350661,174,True,
tobit_upper1,C(x2)[T.1],-0.12215708821952481,0.31149994736575265,-0.3921576528425288,0.6949417312890751,-0.7326969850564,0.48838280861735034,174,True,
tobit_upper1,C(color)[T.2],-0.11335162117835941,0.08976740575887202,-1.2627258214728623,0.2066877309680868,-0.2892957364657486,0.06259249410902974,174,True,
tobit_upper1,C(color)[T.3],0.21525794707474613,0.2947627717488578,0.7302752169061195,0.46522197384152897,-0.36247708555301517,0.7929929797025074,174,True,
tobit_upper1,x1,0.0035171825942832214,0.002131389149110797,1.650183213023567,0.09890546919886775,-0.000660340137973941,0.007694705326540384,174,True,
tobit_upper1,x3,0.04476232550525047,0.13964119563158986,0.3205524365699735,0.74854958694087,-0.22893441793266564,0.31845906894316656,174,True,
tobit_upper1,x4,0.004284422659742656,0.005818642555534294,0.7363268354863295,0.46153181864946036,-0.007120116749104559,0.01568896206858987,174,True,
tobit_upper1,x5,1.0425483968647715,1.1152631229720384,0.9348003851203373,0.3498911810838684,-1.1433673241604236,3.228464117889967,174,True,
tobit_upper1,x6,-2.7750605764105263,7.16647015921748,-0.3872283725121295,0.6985871472107982,-16.82134208847679,11.271220935655736,174,True,
tobit_upper1,x7,0.10369972447185294,0.19925759116598962,0.5204304833007184,0.6027635682685768,-0.2868451542134867,0.4942446031571926,174,True,
