model,term,estimate,std_error,statistic,p_value,conf_low,conf_high,n_obs,converged,warning
glm_baseline,Intercept,11.634179617882554,0.9567426124023553,12.160198016757546,5.063580091265956e-34,9.758998555099172,13.509360680665935,174,True,
glm_baseline,C(x2)[T.1],0.031287129181358786,0.05721841342233999,0.5468017603078669,0.5845149335978208,-0.08085890037895081,0.1434331587416684,174,True,
glm_baseline,C(color)[T.2],-0.14098858295758582,0.17646791399051778,-0.7989474107183111,0.42432090634272124,-0.4868593388059126,0.20488217289074095,174,True,
glm_baseline,C(color)[T.3],0.15301558339470983,0.14274630965126114,1.0719407301564379,0.28374665443548286,-0.12676204244776434,0.432793209237184,174,True,
glm_baseline,x1,0.001817690836916984,0.0004042562141189717,4.496383168477508,6.911913025900723e-06,0.001025363216717287,0.002610018457116681,174,True,
glm_baseline,x3,-0.014173911603517414,0.0007546307973886015,-18.782577722200326,1.048634098137712e-78,-0.015652960788023817,-0.012694862419011013,174,True,
glm_baseline,x4,-0.00748631780062173,0.00025132715324403603,-29.787142789750988,5.7325660209485954e-195,-0.00797890996931702,-0.00699372563192644,174,True,
glm_baseline,x5,-0.7930131119061935,1.1196481450115676,-0.7082699287623082,0.47877764759529406,-2.9874831514859457,1.401456927673559,174,True,
glm_baseline,x6,-3.268647270826294,1.1855335506570814,-2.757110727920477,0.005831460075112511,-5.5922503325780655,-0.9450442090745224,174,True,
glm_baseline,x7,-0.16343427988022122,0.16739417384482144,-0.9763438961246576,0.32889407390220493,-0.49152083183790796,0.1646522720774655,174,True,
ols_baseline,Intercept,90683.30088149189,57881.43432995939,1.5667079078334842,0.11718298154946416,-22762.22577874879,204128.82754173258,174,,
ols_baseline,C(x2)[T.1],1716.2015473362017,4027.096137276252,0.4261635403859426,0.6699886825955916,-6176.761844005622,9609.164938678026,174,,
ols_baseline,C(color)[T.2],-6390.466851507112,8833.603961727807,-0.7234269137708964,0.4694176411269805,-23704.012470183952,10923.07876716973,174,,
ols_baseline,C(color)[T.3],9464.775042948218,8628.24688769285,1.09695227386789,0.2726622557713331,-7446.278106649581,26375.828192546018,174,,
ols_baseline,x1,128.2320330325243,33.310689275714694,3.849576091660536,0.0001183224228795759,62.94428175191888,193.51978431312972,174,,
ols_baseline,x3,-327.95480239297405,43.1993004631166,-7.5916692834639905,3.15810226862935e-14,-412.6238754580071,-243.28572932794103,174,,
