code,color,y,x1,x2,x3,x4,x5,x6,x7,Overduearea,Planneddeliveryarea,Province,City,Region,x_coord,y_coord,Overdue,Planned,O_rate,color_text,Region_n
bjhh159,3,109955.20000000001,0.0,0,1.2078796,1.2667309,0.697691698037563,0.02602653838185755,0.189146685013832,109955.20000000001,109955.20000000001,Inner Mongol,呼和浩特市,Western area,257.7787,3768.07,109955.20000000001,109955.20000000001,1.0,Green,2
hbcz160,1,56801.29,4.9785053,0,1.1658234,4.4419882,0.7109781757714158,0.01213319377191041,0.2488844305706367,56801.29,85285.37,Hebei,沧州市,Eastern area,549.064,3292.096,56801.29,85285.37,0.6660144641454918,Red,3
ldwh161,3,11336.5,0.0,0,0.00309649,190.14865,0.8467148355855535,0.016559034321694505,0.9495546659761421,11336.5,11336.5,Shandong,威海市,Eastern area,818.8971,3022.989,11336.5,11336.5,1.0,Green,3
yxly162,2,7459.84,15.659781,0,1.2318997,2.4401704,0.7290361651282724,0.02087908830619465,0.28172538469445396,7459.84,56768.98,Henan,洛阳市,Central area,327.5666,2622.538,7459.84,56768.98,0.131406976133797,Yellow,1
sxzz163,1,32509.760000000002,9.4860173,1,1.2385408,0.39635205,0.6783565084150279,0.014762529025704126,0.19665238540883978,32509.760000000002,120263.28,Shanxi,长治市,Central area,195.3071,3031.825,32509.760000000002,120263.28,0.27032158111769444,Red,1
hnyy164,1,37186.96,0.50354128,1,1.017366,3.8153018,0.7964985177890068,0.05270960946459299,0.25170903489386925,37186.96,37186.96,Hunan,益阳市,Central area,165.5755,1913.2,37186.96,37186.96,1.0,Red,1
ldqd165,1,73831.56,105.16799999999999,1,2.045162,1.0574721,0.8467148355855535,0.016559034321694505,0.9495546659761421,73831.56,73831.56,Shandong,青岛市,Eastern area,818.8971,3022.989,73831.56,73831.56,1.0,Red,3
sdwf166,1,1515.43,45.783324,1,1.3008019,0.91552823,0.6899470327975797,0.019919818030096056,0.09335376053505097,1515.43,1515.43,Shandong,潍坊市,Eastern area,818.8971,3022.989,1515.43,1515.43,1.0,Red,3
hnhn167,3,75114.28,36.146777,0,1.4443173,0.85530368,0.7964985177890068,0.05270960946459299,0.25170903489386925,75114.28,75114.28,Hunan,邵阳市,Central area,165.5755,1913.2,75114.28,75114.28,1.0,Green,1
sxxa168,1,126911.72,22.041030999999997,0,2.3060708,3.2074696,0.7151257660917754,0.02042891243052803,0.18704700932303947,126911.72,332953.93,Shaanxi,西安市,Western area,-104.3657,2761.934,126911.72,332953.93,0.38116901037930384,Red,2
sczg169,1,57682.92,0.0,0,2.3060708,3.2074696,0.833973144114031,0.03255570365183585,0.37872732400377085,57682.92,57682.92,Sichuan,自贡市,Western area,-686.9829,2272.767,57682.92,57682.92,1.0,Red,2
hbhb170,3,92275.08,0.0,0,2.3060708,3.2074696,0.7109781757714158,0.01213319377191041,0.2488844305706367,92275.08,92275.08,Hebei,秦皇岛市,Eastern area,549.064,3292.096,92275.08,92275.08,1.0,Green,3
sxty171,1,94374.18,6.1785965,0,2.3060708,3.2074696,0.6783565084150279,0.014762529025704126,0.19665238540883978,94374.18,238545.38,Shanxi,太原市,Central area,195.3071,3031.825,94374.18,238545.38,0.39562359162017724,Red,1
scdz172,1,47532.02,13.139233999999998,1,2.3060708,3.2074696,0.833973144114031,0.03255570365183585,0.37872732400377085,47532.02,114308.70000000001,Sichuan,达州市,Western area,-686.9829,2272.767,47532.02,114308.70000000001,0.41582154289218576,Red,2
hnhh173,2,27237.2,32.03863,0,2.3060708,3.2074696,0.7964985177890068,0.05270960946459299,0.25170903489386925,27237.2,81711.6,Hunan,怀化市,Central area,165.5755,1913.2,27237.2,81711.6,0.3333333333333333,Yellow,1
sxty174,1,109695.86,237.18866000000003,0,2.3060708,3.2074696,0.6783565084150279,0.014762529025704126,0.19665238540883978,109695.86,109695.86,Shanxi,太原市,Central area,195.3071,3031.825,109695.86,109695.86,1.0,Red,1
