variable,group_0_n,group_1_n,group_0_mean,group_1_mean,t_statistic,p_value
y,124,50,53416.205967741946,58063.140199999994,-0.7547596475365053,0.4525019314477351
x1,124,50,25.12006346048387,41.220339288000005,-2.0862561039119845,0.039669947826817493
x3,124,50,1.4438358349999998,4.444413366999999,-1.0195035843008597,0.3129681095580896
x4,124,50,3.8377862369821822,1.6423997128000003,1.424894450801409,0.15665484485036793
x5,124,50,0.7577144552599866,0.7424465203447991,1.1287032033777902,0.2615753958552306
x6,124,50,0.029334047457619968,0.02664700399691233,1.0179407674082896,0.31069406078369227
x7,124,50,0.2705055200189138,0.311835803856276,-1.0975334228599738,0.2765317126547172
