variable,vif,n_obs
x1,1.4415444415181582,174
x2,1.4790685722149044,174
x3,1.0709181426921273,174
x4,1.1626788170304319,174
x5,7.834968328192391,174
x6,3.551754738905609,174
x7,4.2617996102884925,174
