source_index,source_position,treatment,propensity_score,match_id,neighbor_rank,matched,match_weight
146,146,1,0.1240183756061205,1,0,True,1.0
132,132,0,0.12638371571132276,1,1,True,0.5
57,57,0,0.1303605584946822,1,2,True,0.5
35,35,1,0.15688890584358103,2,0,True,1.0
74,74,0,0.15714036470931678,2,1,True,0.5
93,93,0,0.15647026881535792,2,2,True,0.5
133,133,1,0.15714047183733656,3,0,True,1.0
74,74,0,0.15714036470931678,3,1,True,0.5
93,93,0,0.15647026881535792,3,2,True,0.5
56,56,1,0.15804022473540247,4,0,True,1.0
95,95,0,0.15841678310549295,4,1,True,0.5
74,74,0,0.15714036470931678,4,2,True,0.5
163,163,1,0.16008731616660513,5,0,True,1.0
73,73,0,0.16008289333058584,5,1,True,0.5
128,128,0,0.16068515988758655,5,2,True,0.5
131,131,1,0.2146958020034002,6,0,True,1.0
147,147,0,0.21279952202266908,6,1,True,0.5
158,158,0,0.2176817665192999,6,2,True,0.5
12,12,1,0.2257049795037612,7,0,True,1.0
168,168,0,0.22968145484114652,7,1,True,0.5
36,36,0,0.23102173879590832,7,2,True,0.5
77,77,1,0.23393511026830266,8,0,True,1.0
159,159,0,0.2339581523143597,8,1,True,0.5
31,31,0,0.2346258933318508,8,2,True,0.5
126,126,1,0.23460916968981294,9,0,True,1.0
31,31,0,0.2346258933318508,9,1,True,0.5
159,159,0,0.2339581523143597,9,2,True,0.5
139,139,1,0.2348196633015716,10,0,True,1.0
31,31,0,0.2346258933318508,10,1,True,0.5
159,159,0,0.2339581523143597,10,2,True,0.5
25,25,1,0.24129693308958097,11,0,True,1.0
72,72,0,0.2436376328448197,11,1,True,0.5
118,118,0,0.23781670899542967,11,2,True,0.5
171,171,1,0.24605788745637353,12,0,True,1.0
72,72,0,0.2436376328448197,12,1,True,0.5
102,102,0,0.2491309545155956,12,2,True,0.5
79,79,1,0.2599055245261027,13,0,True,1.0
85,85,0,0.26066934731782393,13,1,True,0.5
22,22,0,0.26092395439217375,13,2,True,0.5
136,136,1,0.2696140303334413,14,0,True,1.0
48,48,0,0.269131816829687,14,1,True,0.5
167,167,0,0.27013778071182803,14,2,True,0.5
45,45,1,0.2726482407495962,15,0,True,1.0
98,98,0,0.273521252960905,15,1,True,0.5
167,167,0,0.27013778071182803,15,2,True,0.5
155,155,1,0.2735371599691658,16,0,True,1.0
98,98,0,0.273521252960905,16,1,True,0.5
152,152,0,0.2760082156789036,16,2,True,0.5
55,55,1,0.2746300077614655,17,0,True,1.0
98,98,0,0.273521252960905,17,1,True,0.5
152,152,0,0.2760082156789036,17,2,True,0.5
124,124,1,0.2957700242685338,18,0,True,1.0
21,21,0,0.2899870936472943,18,1,True,0.5
13,13,0,0.30614757080397914,18,2,True,0.5
49,49,1,0.3004843338249516,19,0,True,1.0
13,13,0,0.30614757080397914,19,1,True,0.5
21,21,0,0.2899870936472943,19,2,True,0.5
125,125,1,0.30224577017443355,20,0,True,1.0
13,13,0,0.30614757080397914,20,1,True,0.5
39,39,0,0.3114767193966533,20,2,True,0.5
138,138,1,0.31101030818807035,21,0,True,1.0
39,39,0,0.3114767193966533,21,1,True,0.5
13,13,0,0.30614757080397914,21,2,True,0.5
18,18,1,0.31172907802853655,22,0,True,1.0
39,39,0,0.3114767193966533,22,1,True,0.5
13,13,0,0.30614757080397914,22,2,True,0.5
15,15,1,0.314931216003056,23,0,True,1.0
127,127,0,0.317638677461395,23,1,True,0.5
39,39,0,0.3114767193966533,23,2,True,0.5
68,68,1,0.3184221769924443,24,0,True,1.0
127,127,0,0.317638677461395,24,1,True,0.5
51,51,0,0.32221349233628455,24,2,True,0.5
120,120,1,0.3255804124538816,25,0,True,1.0
121,121,0,0.3287611671476819,25,1,True,0.5
51,51,0,0.32221349233628455,25,2,True,0.5
89,89,1,0.32576288795331426,26,0,True,1.0
121,121,0,0.3287611671476819,26,1,True,0.5
51,51,0,0.32221349233628455,26,2,True,0.5
104,104,1,0.33600954220859647,27,0,True,1.0
40,40,0,0.3355372556703954,27,1,True,0.5
119,119,0,0.33677395150306016,27,2,True,0.5
82,82,1,0.3456849803374892,28,0,True,1.0
156,156,0,0.3421975698031088,28,1,True,0.5
119,119,0,0.33677395150306016,28,2,True,0.5
165,165,1,0.36020857900501424,29,0,True,1.0
66,66,0,0.36047850465781806,29,1,True,0.5
30,30,0,0.35978127408380484,29,2,True,0.5
44,44,1,0.3741639005041894,30,0,True,1.0
109,109,0,0.3752008322162289,30,1,True,0.5
115,115,0,0.3752207366610324,30,2,True,0.5
117,117,1,0.38211710634603613,31,0,True,1.0
122,122,0,0.3816578529150307,31,1,True,0.5
81,81,0,0.3844129822953385,31,2,True,0.5
42,42,1,0.3850860644597166,32,0,True,1.0
81,81,0,0.3844129822953385,32,1,True,0.5
122,122,0,0.3816578529150307,32,2,True,0.5
84,84,1,0.3868399897608804,33,0,True,1.0
148,148,0,0.38870072357894725,33,1,True,0.5
81,81,0,0.3844129822953385,33,2,True,0.5
142,142,1,0.3897347863083519,34,0,True,1.0
149,149,0,0.38961563311633274,34,1,True,0.5
148,148,0,0.38870072357894725,34,2,True,0.5
162,162,1,0.3898457754668823,35,0,True,1.0
149,149,0,0.38961563311633274,35,1,True,0.5
148,148,0,0.38870072357894725,35,2,True,0.5
5,5,1,0.38986850036715087,36,0,True,1.0
149,149,0,0.38961563311633274,36,1,True,0.5
148,148,0,0.38870072357894725,36,2,True,0.5
20,20,1,0.3902572557396627,37,0,True,1.0
149,149,0,0.38961563311633274,37,1,True,0.5
61,61,0,0.3910730625484771,37,2,True,0.5
111,111,1,0.4219286562939249,38,0,True,1.0
78,78,0,0.4337313709552265,38,1,True,0.5
114,114,0,0.4086775011963097,38,2,True,0.5
38,38,1,0.4313674471996689,39,0,True,1.0
78,78,0,0.4337313709552265,39,1,True,0.5
114,114,0,0.4086775011963097,39,2,True,0.5
41,41,1,0.4424752953843328,40,0,True,1.0
78,78,0,0.4337313709552265,40,1,True,0.5
110,110,0,0.4712126703440007,40,2,True,0.5
153,153,1,0.45664900379214407,41,0,True,1.0
110,110,0,0.4712126703440007,41,1,True,0.5
78,78,0,0.4337313709552265,41,2,True,0.5
52,52,1,0.47702082369285687,42,0,True,1.0
88,88,0,0.47962721358168176,42,1,True,0.5
110,110,0,0.4712126703440007,42,2,True,0.5
70,70,1,0.4862864809578883,43,0,True,1.0
150,150,0,0.4882740751819571,43,1,True,0.5
88,88,0,0.47962721358168176,43,2,True,0.5
76,76,1,0.4989607610910229,44,0,True,1.0
150,150,0,0.4882740751819571,44,1,True,0.5
88,88,0,0.47962721358168176,44,2,True,0.5
113,113,1,0.5158010279692952,45,0,True,1.0
63,63,0,0.5204471013038102,45,1,True,0.5
150,150,0,0.4882740751819571,45,2,True,0.5
60,60,1,0.5787040787692644,46,0,True,1.0
97,97,0,0.5784147315231964,46,1,True,0.5
65,65,0,0.6043000908200407,46,2,True,0.5
123,123,1,0.6173302269700506,47,0,True,1.0
65,65,0,0.6043000908200407,47,1,True,0.5
108,108,0,0.64664424257659,47,2,True,0.5
