source_index,source_position,treatment,propensity_score,match_id,neighbor_rank,matched,match_weight
21,21,0,0.2899870936472943,19,2,True,0.2
39,39,0,0.3114767193966533,19,3,True,0.2
170,170,0,0.2834285516746535,19,4,True,0.2
127,127,0,0.317638677461395,19,5,True,0.2
125,125,1,0.30224577017443355,20,0,True,1.0
13,13,0,0.30614757080397914,20,1,True,0.2
39,39,0,0.3114767193966533,20,2,True,0.2
21,21,0,0.2899870936472943,20,3,True,0.2
127,127,0,0.317638677461395,20,4,True,0.2
170,170,0,0.2834285516746535,20,5,True,0.2
138,138,1,0.31101030818807035,21,0,True,1.0
39,39,0,0.3114767193966533,21,1,True,0.2
13,13,0,0.30614757080397914,21,2,True,0.2
127,127,0,0.317638677461395,21,3,True,0.2
51,51,0,0.32221349233628455,21,4,True,0.2
121,121,0,0.3287611671476819,21,5,True,0.2
18,18,1,0.31172907802853655,22,0,True,1.0
39,39,0,0.3114767193966533,22,1,True,0.2
13,13,0,0.30614757080397914,22,2,True,0.2
127,127,0,0.317638677461395,22,3,True,0.2
51,51,0,0.32221349233628455,22,4,True,0.2
121,121,0,0.3287611671476819,22,5,True,0.2
15,15,1,0.314931216003056,23,0,True,1.0
127,127,0,0.317638677461395,23,1,True,0.2
39,39,0,0.3114767193966533,23,2,True,0.2
51,51,0,0.32221349233628455,23,3,True,0.2
13,13,0,0.30614757080397914,23,4,True,0.2
121,121,0,0.3287611671476819,23,5,True,0.2
68,68,1,0.3184221769924443,24,0,True,1.0
127,127,0,0.317638677461395,24,1,True,0.2
51,51,0,0.32221349233628455,24,2,True,0.2
39,39,0,0.3114767193966533,24,3,True,0.2
121,121,0,0.3287611671476819,24,4,True,0.2
0,0,0,0.33031637181674933,24,5,True,0.2
120,120,1,0.3255804124538816,25,0,True,1.0
121,121,0,0.3287611671476819,25,1,True,0.2
51,51,0,0.32221349233628455,25,2,True,0.2
0,0,0,0.33031637181674933,25,3,True,0.2
37,37,0,0.3304112812098208,25,4,True,0.2
127,127,0,0.317638677461395,25,5,True,0.2
89,89,1,0.32576288795331426,26,0,True,1.0
121,121,0,0.3287611671476819,26,1,True,0.2
51,51,0,0.32221349233628455,26,2,True,0.2
0,0,0,0.33031637181674933,26,3,True,0.2
37,37,0,0.3304112812098208,26,4,True,0.2
127,127,0,0.317638677461395,26,5,True,0.2
104,104,1,0.33600954220859647,27,0,True,1.0
40,40,0,0.3355372556703954,27,1,True,0.2
119,119,0,0.33677395150306016,27,2,True,0.2
37,37,0,0.3304112812098208,27,3,True,0.2
0,0,0,0.33031637181674933,27,4,True,0.2
156,156,0,0.3421975698031088,27,5,True,0.2
82,82,1,0.3456849803374892,28,0,True,1.0
156,156,0,0.3421975698031088,28,1,True,0.2
119,119,0,0.33677395150306016,28,2,True,0.2
40,40,0,0.3355372556703954,28,3,True,0.2
26,26,0,0.3586887876704024,28,4,True,0.2
30,30,0,0.35978127408380484,28,5,True,0.2
165,165,1,0.36020857900501424,29,0,True,1.0
66,66,0,0.36047850465781806,29,1,True,0.2
30,30,0,0.35978127408380484,29,2,True,0.2
26,26,0,0.3586887876704024,29,3,True,0.2
109,109,0,0.3752008322162289,29,4,True,0.2
115,115,0,0.3752207366610324,29,5,True,0.2
44,44,1,0.3741639005041894,30,0,True,1.0
109,109,0,0.3752008322162289,30,1,True,0.2
115,115,0,0.3752207366610324,30,2,True,0.2
122,122,0,0.3816578529150307,30,3,True,0.2
81,81,0,0.3844129822953385,30,4,True,0.2
66,66,0,0.36047850465781806,30,5,True,0.2
117,117,1,0.38211710634603613,31,0,True,1.0
122,122,0,0.3816578529150307,31,1,True,0.2
81,81,0,0.3844129822953385,31,2,True,0.2
148,148,0,0.38870072357894725,31,3,True,0.2
115,115,0,0.3752207366610324,31,4,True,0.2
109,109,0,0.3752008322162289,31,5,True,0.2
42,42,1,0.3850860644597166,32,0,True,1.0
81,81,0,0.3844129822953385,32,1,True,0.2
122,122,0,0.3816578529150307,32,2,True,0.2
148,148,0,0.38870072357894725,32,3,True,0.2
149,149,0,0.38961563311633274,32,4,True,0.2
61,61,0,0.3910730625484771,32,5,True,0.2
84,84,1,0.3868399897608804,33,0,True,1.0
148,148,0,0.38870072357894725,33,1,True,0.2
81,81,0,0.3844129822953385,33,2,True,0.2
149,149,0,0.38961563311633274,33,3,True,0.2
61,61,0,0.3910730625484771,33,4,True,0.2
122,122,0,0.3816578529150307,33,5,True,0.2
142,142,1,0.3897347863083519,34,0,True,1.0
149,149,0,0.38961563311633274,34,1,True,0.2
148,148,0,0.38870072357894725,34,2,True,0.2
61,61,0,0.3910730625484771,34,3,True,0.2
106,106,0,0.3930732091745686,34,4,True,0.2
81,81,0,0.3844129822953385,34,5,True,0.2
162,162,1,0.3898457754668823,35,0,True,1.0
149,149,0,0.38961563311633274,35,1,True,0.2
148,148,0,0.38870072357894725,35,2,True,0.2
61,61,0,0.3910730625484771,35,3,True,0.2
106,106,0,0.3930732091745686,35,4,True,0.2
81,81,0,0.3844129822953385,35,5,True,0.2
5,5,1,0.38986850036715087,36,0,True,1.0
149,149,0,0.38961563311633274,36,1,True,0.2
148,148,0,0.38870072357894725,36,2,True,0.2
61,61,0,0.3910730625484771,36,3,True,0.2
106,106,0,0.3930732091745686,36,4,True,0.2
81,81,0,0.3844129822953385,36,5,True,0.2
20,20,1,0.3902572557396627,37,0,True,1.0
149,149,0,0.38961563311633274,37,1,True,0.2
61,61,0,0.3910730625484771,37,2,True,0.2
148,148,0,0.38870072357894725,37,3,True,0.2
106,106,0,0.3930732091745686,37,4,True,0.2
81,81,0,0.3844129822953385,37,5,True,0.2
111,111,1,0.4219286562939249,38,0,True,1.0
78,78,0,0.4337313709552265,38,1,True,0.2
114,114,0,0.4086775011963097,38,2,True,0.2
6,6,0,0.4042696809881459,38,3,True,0.2
154,154,0,0.4014548833610709,38,4,True,0.2
106,106,0,0.3930732091745686,38,5,True,0.2
38,38,1,0.4313674471996689,39,0,True,1.0
78,78,0,0.4337313709552265,39,1,True,0.2
114,114,0,0.4086775011963097,39,2,True,0.2
6,6,0,0.4042696809881459,39,3,True,0.2
154,154,0,0.4014548833610709,39,4,True,0.2
106,106,0,0.3930732091745686,39,5,True,0.2
41,41,1,0.4424752953843328,40,0,True,1.0
78,78,0,0.4337313709552265,40,1,True,0.2
110,110,0,0.4712126703440007,40,2,True,0.2
114,114,0,0.4086775011963097,40,3,True,0.2
88,88,0,0.47962721358168176,40,4,True,0.2
6,6,0,0.4042696809881459,40,5,True,0.2
153,153,1,0.45664900379214407,41,0,True,1.0
110,110,0,0.4712126703440007,41,1,True,0.2
78,78,0,0.4337313709552265,41,2,True,0.2
88,88,0,0.47962721358168176,41,3,True,0.2
150,150,0,0.4882740751819571,41,4,True,0.2
114,114,0,0.4086775011963097,41,5,True,0.2
52,52,1,0.47702082369285687,42,0,True,1.0
88,88,0,0.47962721358168176,42,1,True,0.2
110,110,0,0.4712126703440007,42,2,True,0.2
150,150,0,0.4882740751819571,42,3,True,0.2
78,78,0,0.4337313709552265,42,4,True,0.2
63,63,0,0.5204471013038102,42,5,True,0.2
70,70,1,0.4862864809578883,43,0,True,1.0
150,150,0,0.4882740751819571,43,1,True,0.2
88,88,0,0.47962721358168176,43,2,True,0.2
110,110,0,0.4712126703440007,43,3,True,0.2
63,63,0,0.5204471013038102,43,4,True,0.2
78,78,0,0.4337313709552265,43,5,True,0.2
